Probe1(Oxy),CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47
11,7.151866468898175,16.24380397660852,26.862109608304458,34.348785976236194,32.7567053533238,33.85023599075559,25.634428778803997,18.301044860472597,23.689964541284468,30.335124584111174,39.74343502640036,44.010919023826816,37.946352192650444,32.21547462804565,32.367229680624774,45.33898120857434,62.245764064650274,66.30124680037525,61.69922484646435,58.19595074740184,60.03106527630594,72.98440234245635,70.37159765419405,42.554042142842135,41.02468779022236,51.921331024930126,59.90342669345732,61.10334826115467,53.15827990875453,71.8399414910694,77.4586455225189,52.698656718964884,69.19526125064661,88.78031459652628,84.61759611337473,77.81409810335505,53.872297722370554,31.194971257300367,20.437646913884553,-0.1073912859750763,-10.68863888676105,-1.1953568903585419,0.9274959928237734,-10.23162476050201,-30.032458924269243,-30.72657111102954,-32.08689152566548,-32.83189030088438
12,6.746039725423514,14.734322651016123,24.45329683609019,31.430076325024807,24.361097381898354,21.66655641330407,15.663422374003591,10.202316516259824,16.51398753705409,22.23571691815233,29.979652869392012,33.77825429148217,28.01175278089066,23.609304152785953,25.01154247350178,38.87754496743136,57.09380089694868,61.52844771102703,57.93185684271834,53.473992681622235,54.46153212032873,69.33788626808396,68.06674384229855,40.63029805526999,39.24515235163946,50.52004893039352,59.88154549772052,61.66208335762655,52.32401750801646,69.49591774532757,77.486407966716,59.94973361767425,78.35553935877132,93.24843744185824,85.35441669540445,82.36342868150054,61.73485104242963,36.95742656771421,23.590595732751126,0.239298210583474,-11.1969429189577,-3.069239331947038,-2.750604619337513,-13.885033316052217,-32.57853327211934,-31.404578736337236,-32.43332758043554,-38.436708200364144
13,6.6078722388458155,13.605303087985835,22.120970122433107,29.20882971084027,25.619104278829834,24.908022196256514,16.758529041129147,9.377563610447442,13.98050832794386,18.196409227187747,25.211165760130946,27.11482948696363,18.989092406076033,15.058289402787134,17.228132678006688,30.44479061237827,49.1328068247155,54.812955351702634,52.787433558111644,47.51210988659234,47.74459319206187,65.11810643220532,65.43045536091255,38.411898856241045,39.92540854996329,54.089532956672926,64.55124205990452,66.27291005062473,55.042197897545,68.83319212973497,74.66995134880605,57.190620632672754,74.20573036423738,93.0265918395681,89.48852793731646,84.50288190377854,61.65334686750894,36.92571254250969,23.56244132326954,-1.5697592900788777,-14.331591583102192,-6.58951847637377,-6.778486732607551,-14.229443292528146,-29.892533592025124,-32.423300673533404,-36.39250225638857,-42.230586511035995
14,5.431747662806925,10.586714436768295,20.719213123528235,28.723551065725566,23.941614109288015,22.99461472756304,13.96113680621432,5.864322555931249,9.621314606540157,12.960131802875466,18.5099783139421,18.265627366883866,8.64325962045148,5.873250537490982,9.245492169140407,23.533407972839132,44.05505355931597,50.222669435773504,48.403085061575645,40.75280745654964,39.79494790390487,59.48402428066189,61.26488102625064,34.794253110091006,36.2031650552007,50.850742132315744,53.58202334608267,49.24291993349112,42.47568239979423,57.48853293825926,64.2337357155299,49.100145208340024,67.13133492290882,86.9314882532783,85.48514842745175,81.29174792074949,58.11341216964427,34.879701869527494,22.07164710911206,-3.490815125936283,-15.663688805758541,-6.726857256977151,-6.799580767172896,-19.309064730359392,-38.1708702086926,-52.044115831545405,-59.482837950970676,-53.32886148968454
15,6.75991697898446,13.548611911519744,23.002990703648752,30.55849586540343,28.330311807678548,29.306761018575,20.086483223516687,12.218040711808076,15.373119610018254,19.663622438059868,29.506307796439287,34.476684831954316,27.06394568685208,23.358783621787197,24.42690469052326,37.58091687564135,57.679128093634745,64.02264026562831,64.04038798838855,54.440746722916806,50.37670313133246,70.75101761402865,73.25949142151202,45.28296827463529,45.92998798591634,61.44331598363732,62.98182198716969,57.179099860184564,51.38803053019224,65.84928556598682,72.27370989930887,58.260944740370654,76.65556439675035,97.97912590388401,99.14252526220922,97.70090124678843,75.2048275617053,48.371440741781086,42.04980993089069,23.505840667547037,6.871471867732103,13.127995139697237,12.382127546212413,-0.20962522519747928,-19.436388083393233,-3.1991797844337206,13.875546347891504,3.122787655428578
16,10.206445964305386,21.95828260980937,34.00305210118334,44.08557265943969,41.75202865437946,40.67284209957928,30.800539396587986,22.893833846788013,25.150095401852994,28.775352776575268,39.75064437540061,45.879719138631074,37.64486673619577,32.621678070400606,32.431618088909694,41.54915879447112,59.3255198546508,67.3727545578191,68.38308983216027,58.2260847338544,53.25860008766486,71.90458011862724,73.40474418307076,45.72928503769052,46.08658881397962,61.761396162054865,61.06569759332349,53.44073193145546,49.60224594749147,65.46480954384919,72.58179866165813,58.98358600335526,77.46918600438357,98.56578738334875,99.66644131450701,98.15086670148868,75.56723133740105,51.47858296941225,37.58690348773948,10.634213347328977,-1.8656253967523497,7.285534861129804,2.814217836612659,-11.84891638991984,-27.57955706861797,-27.320269660453675,-26.30592000568207,-27.872635731753423
17,9.465318119498233,20.897733881350074,34.67873703477979,46.01801823198818,43.07068731515191,41.81913022529008,31.91491097680722,23.85292405381285,26.840061615002917,30.418900634209965,41.58192803638067,47.86088668568044,38.861599714539636,33.03634094926544,32.1334379783141,41.06537800098555,58.54230741474013,66.77326791905148,67.34119495347214,57.650675533263794,53.310171005672416,68.98982735724516,68.36070095121637,41.71133432761344,43.45701482699806,59.42669243109524,62.65389269859881,58.06778466191665,52.801403932180605,69.00625629660092,76.16141473870465,61.16185035755394,78.95191242018235,99.58959441688422,99.70244815484594,96.9334870247451,73.35134512686614,47.57371943277957,34.07393623797743,9.124163466551634,-3.871251877928147,4.222085056685451,4.8050483535850645,-5.730589244827404,-23.547150044736753,-24.362081525403553,-27.828669505492215,-33.17200675699022
18,9.123128528715563,20.004259159226567,31.778824174705534,42.64420358370563,39.90513826556762,38.1250376751361,28.933549708106312,21.09617470743319,24.950106893631904,29.040046994578297,37.717741181949535,40.34916142838459,31.416939879841706,26.838683869919052,26.737417469764843,37.79677356493881,55.99201731375525,64.35354143901304,65.00942582053185,56.719901427496765,53.55413171842633,66.55377909329502,64.10213096616617,39.261923001159914,42.20269265790002,57.490314468907286,61.69132215549172,58.287317160557244,52.69455315455556,69.5418688830809,77.0670169144402,61.04361086883046,78.37305554246095,98.66142480108054,97.80429662814693,94.17535452572783,70.44820903614638,44.69465939972632,31.11542297517038,6.045019294569698,-6.87079970003531,1.5407972336019982,1.53004258238551,-9.501463887699583,-27.125250582252953,-30.986497166101017,-24.420720062899854,-20.990559363807055
19,9.353135575670043,19.639498966244904,30.400398067258816,40.4671370019803,37.89413370192084,36.57448755296593,26.775384620044967,18.451232309754083,22.39735000798484,25.908646570876165,33.36849799533023,38.12399085585774,31.146425003388057,25.272881383976046,24.5825677963659,34.844450197927266,52.511505639319594,60.93212445440152,61.4506605636645,54.14919075402308,51.587992831183506,63.61165787020383,60.26672615461009,36.11576572733074,39.491386120367295,54.07851649259329,58.819677950579155,56.25967657339253,50.34865864961995,68.22766315542859,76.65173488175898,59.879957810200686,76.96618577029761,97.13043762052581,95.67777976096173,91.87087565012975,71.77104442854356,46.01854977771799,34.64870058017451,12.711714746900526,-4.431073848959314,1.2457862466716465,1.0192896394944024,-9.732770140978328,-28.64055255813477,-28.144667381594594,-28.771092441698613,-27.042215086352197
20,7.599612413194871,15.658590933681364,25.589268945715688,35.24707240218358,33.457389312263366,32.87794653119629,23.02286921610258,14.483023407503875,18.56973278666328,21.900072167868295,28.67040732004609,32.43739806196508,24.44780048809458,18.928633187617095,19.40582087293618,30.714211559594126,49.251269952469904,57.68957847113322,57.70354693028433,51.08121150769001,49.86029039196963,62.47381561830322,58.93895161131095,35.02629924524287,38.7504504458791,53.05452796127341,57.4238450407646,54.383718790914266,47.97932347351561,65.18702286170756,73.07163376168526,56.02793109266378,72.86325813932027,93.14157122725614,91.8354649909254,87.71919464501785,64.4223472022165,39.52905185257613,26.61847312160511,1.2795746528322276,-12.838299371168318,14.728698005564649,27.895518908226336,6.661249207109686,-17.783042609510062,-22.252132531690055,-24.025863920364813,-28.868860654050433
