[2021-05-26 12:02:17,266] INFO    (fnirs-66): {'rt': 4370, 'anb': 9272, 'ewm': 9044, 'gng': 4370}
[2021-05-26 12:02:50,119] INFO    (fnirs-66): {'rt': 4370, 'anb': 9272, 'ewm': 9044, 'gng': 4370}
[2021-05-26 12:02:50,218] INFO    (fnirs-66): {'gng': 690, 'anb': 1464, 'rt': 690, 'ewm': 1428}
[2021-05-26 12:02:50,570] INFO    (fnirs-66): {'rt': 4370, 'anb': 9272, 'gng': 4370, 'ewm': 9044}
[2021-05-26 12:02:50,669] INFO    (fnirs-66): {'gng': 690, 'ewm': 1428, 'rt': 690, 'anb': 1464}
[2021-05-26 12:02:51,045] INFO    (fnirs-66): {'anb': 9760, 'rt': 4600, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:51,129] INFO    (fnirs-66): {'rt': 460, 'anb': 976, 'ewm': 952, 'gng': 460}
[2021-05-26 12:02:51,543] INFO    (fnirs-66): {'rt': 4600, 'anb': 9760, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:51,633] INFO    (fnirs-66): {'anb': 976, 'gng': 460, 'rt': 460, 'ewm': 952}
[2021-05-26 12:02:52,010] INFO    (fnirs-66): {'rt': 4600, 'anb': 9760, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:52,096] INFO    (fnirs-66): {'rt': 460, 'ewm': 952, 'anb': 976, 'gng': 460}
[2021-05-26 12:02:52,511] INFO    (fnirs-66): {'rt': 4600, 'anb': 9760, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:52,596] INFO    (fnirs-66): {'rt': 460, 'gng': 460, 'anb': 976, 'ewm': 952}
[2021-05-26 12:02:52,988] INFO    (fnirs-66): {'rt': 4600, 'anb': 9760, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:53,095] INFO    (fnirs-66): {'ewm': 952, 'anb': 976, 'gng': 460, 'rt': 460}
[2021-05-26 12:02:53,473] INFO    (fnirs-66): {'rt': 4600, 'anb': 9760, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:53,556] INFO    (fnirs-66): {'rt': 460, 'ewm': 952, 'anb': 976, 'gng': 460}
[2021-05-26 12:02:53,955] INFO    (fnirs-66): {'rt': 4600, 'gng': 4600, 'anb': 9760, 'ewm': 9520}
[2021-05-26 12:02:54,038] INFO    (fnirs-66): {'anb': 976, 'ewm': 952, 'gng': 460, 'rt': 460}
[2021-05-26 12:02:54,401] INFO    (fnirs-66): {'rt': 4600, 'anb': 9760, 'gng': 4600, 'ewm': 9520}
[2021-05-26 12:02:54,484] INFO    (fnirs-66): {'gng': 460, 'ewm': 952, 'rt': 460, 'anb': 976}
[2021-05-26 12:03:51,569] INFO    (fnirs-66): {'rt': 4370, 'anb': 12369, 'ewm': 4332, 'gng': 4370}
[2021-05-26 12:03:51,666] INFO    (fnirs-66): {'gng': 690, 'anb': 1953, 'rt': 690, 'ewm': 684}
[2021-05-26 12:03:52,023] INFO    (fnirs-66): {'rt': 4370, 'anb': 12369, 'gng': 4370, 'ewm': 4332}
[2021-05-26 12:03:52,122] INFO    (fnirs-66): {'gng': 690, 'ewm': 684, 'rt': 690, 'anb': 1953}
[2021-05-26 12:03:52,495] INFO    (fnirs-66): {'anb': 13020, 'rt': 4600, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:52,576] INFO    (fnirs-66): {'rt': 460, 'anb': 1302, 'ewm': 456, 'gng': 460}
[2021-05-26 12:03:52,980] INFO    (fnirs-66): {'rt': 4600, 'anb': 13020, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:53,064] INFO    (fnirs-66): {'anb': 1302, 'gng': 460, 'rt': 460, 'ewm': 456}
[2021-05-26 12:03:53,430] INFO    (fnirs-66): {'rt': 4600, 'anb': 13020, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:53,515] INFO    (fnirs-66): {'rt': 460, 'ewm': 456, 'anb': 1302, 'gng': 460}
[2021-05-26 12:03:53,927] INFO    (fnirs-66): {'rt': 4600, 'anb': 13020, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:54,012] INFO    (fnirs-66): {'rt': 460, 'gng': 460, 'anb': 1302, 'ewm': 456}
[2021-05-26 12:03:54,377] INFO    (fnirs-66): {'rt': 4600, 'anb': 13020, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:54,458] INFO    (fnirs-66): {'ewm': 456, 'anb': 1302, 'gng': 460, 'rt': 460}
[2021-05-26 12:03:54,828] INFO    (fnirs-66): {'rt': 4600, 'anb': 13020, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:54,909] INFO    (fnirs-66): {'rt': 460, 'ewm': 456, 'anb': 1302, 'gng': 460}
[2021-05-26 12:03:55,310] INFO    (fnirs-66): {'rt': 4600, 'gng': 4600, 'anb': 13020, 'ewm': 4560}
[2021-05-26 12:03:55,391] INFO    (fnirs-66): {'anb': 1302, 'ewm': 456, 'gng': 460, 'rt': 460}
[2021-05-26 12:03:55,761] INFO    (fnirs-66): {'rt': 4600, 'anb': 13020, 'gng': 4600, 'ewm': 4560}
[2021-05-26 12:03:55,842] INFO    (fnirs-66): {'gng': 460, 'ewm': 456, 'rt': 460, 'anb': 1302}
