Wall time,Step,Value
1629838979.8722954,0,3.393108606338501
1629839022.0560844,1,3.109490156173706
1629839064.2257063,2,2.7985382080078125
1629839106.4384363,3,2.4626448154449463
1629839148.606214,4,2.159324884414673
1629839190.790923,5,1.928545355796814
1629839232.959764,6,1.7846109867095947
1629839275.1649995,7,1.684029459953308
1629839317.3669567,8,1.620841145515442
1629839359.5915468,9,1.5758602619171143
1629839401.7752316,10,1.5449090003967285
1629839444.059249,11,1.5228149890899658
1629839486.2923908,12,1.5076091289520264
1629839528.5061412,13,1.4899632930755615
1629839570.7415898,14,1.4762436151504517
