Wall time,Step,Value
1629841530.8447182,0,3.382976531982422
1629841573.6999936,1,3.1005759239196777
1629841616.4835215,2,2.826019525527954
1629841659.3272483,3,2.5084376335144043
1629841702.0985746,4,2.210596799850464
1629841744.9261239,5,1.9876166582107544
1629841787.803393,6,1.829846739768982
1629841830.7814686,7,1.7265950441360474
1629841873.742935,8,1.650010108947754
1629841916.698602,9,1.597941517829895
1629841959.5741675,10,1.560378909111023
1629842002.3662875,11,1.5314247608184814
1629842045.0561929,12,1.5104568004608154
1629842087.9063787,13,1.5021653175354004
1629842130.7678223,14,1.481829047203064
1629842173.6025097,15,1.471131682395935
