Wall time,Step,Value
1629838088.9402347,0,3.3887245655059814
1629838131.8826163,1,3.120867967605591
1629838174.8557627,2,2.7918965816497803
1629838217.719671,3,2.4282162189483643
1629838260.7253435,4,2.125889778137207
1629838303.2974107,5,1.9087549448013306
1629838345.78543,6,1.7787425518035889
1629838388.2502315,7,1.6885027885437012
1629838430.834515,8,1.6281121969223022
1629838473.0337508,9,1.5831265449523926
1629838515.2524307,10,1.5540342330932617
1629838557.7343004,11,1.5279908180236816
1629838599.9944751,12,1.5062228441238403
1629838642.226713,13,1.4938232898712158
1629838684.3827224,14,1.479390263557434
1629838726.5644815,15,1.4706661701202393
1629838768.744631,16,1.4647212028503418
1629838810.9954195,17,1.4527095556259155
1629838853.150096,18,1.4537930488586426
1629838895.3593895,19,1.4397443532943726
1629838937.5291145,20,1.4329686164855957
