Wall time,Step,Value
1629842216.3804524,0,3.423434257507324
1629842259.2601707,1,3.1509628295898438
1629842301.9725227,2,2.854560375213623
1629842344.819296,3,2.5277047157287598
1629842387.617462,4,2.212306261062622
1629842430.446603,5,1.972825527191162
1629842473.4017665,6,1.817148208618164
1629842516.7455037,7,1.7050410509109497
1629842559.5743291,8,1.6298327445983887
1629842602.3703406,9,1.5821263790130615
1629842645.2055879,10,1.5485693216323853
1629842688.0804996,11,1.5268235206604004
1629842730.966528,12,1.5060875415802002
1629842773.786208,13,1.4870895147323608
1629842816.901145,14,1.4767533540725708
