Wall time,Step,Value
1629836524.8794289,0,3.4120430946350098
1629836567.6623259,1,3.1580166816711426
1629836609.7123969,2,2.8417444229125977
1629836651.608205,3,2.487339496612549
1629836693.6599698,4,2.188267946243286
1629836735.6703484,5,1.9477704763412476
1629836777.631585,6,1.7930026054382324
1629836819.5463314,7,1.697848916053772
1629836861.5783825,8,1.6425209045410156
1629836903.607536,9,1.604325532913208
1629836945.666827,10,1.5745521783828735
1629836987.5467756,11,1.5533767938613892
1629837029.506038,12,1.5391111373901367
1629837071.457495,13,1.52318274974823
1629837113.3855793,14,1.5004221200942993
1629837155.3550894,15,1.4672795534133911
1629837197.2652016,16,1.4613810777664185
1629837239.2578855,17,1.4506391286849976
