Wall time,Step,Value
1629840036.7853625,0,3.385246992111206
1629840079.2426176,1,3.0516998767852783
1629840121.694555,2,2.691727876663208
1629840164.1613045,3,2.3446812629699707
1629840206.6407108,4,2.0645856857299805
1629840249.14747,5,1.8707884550094604
1629840291.582349,6,1.7483735084533691
1629840334.0589168,7,1.6591477394104004
1629840376.6092234,8,1.6006970405578613
1629840419.0885403,9,1.5623738765716553
1629840461.486515,10,1.5338420867919922
1629840503.9537878,11,1.5109995603561401
